rid,date_of_service,location,planned_arrival_time,planned_departure_time,actual_arrival_time,actual_departure_time,late_canc_reason
202301037046774,03/01/2023,NRW,,08:00,,07:59,
202301037046774,03/01/2023,DIS,08:16,08:17,08:15,08:17,
202301037046774,03/01/2023,SMK,08:28,08:29,08:27,08:28,
202301037046774,03/01/2023,IPS,08:40,08:42,08:38,08:41,
202301037046774,03/01/2023,MNG,08:50,08:51,08:50,08:51,
202301037046774,03/01/2023,COL,09:00,09:01,08:58,09:00,
202301037046774,03/01/2023,CHM,09:18,09:19,09:16,09:18,
202301037046774,03/01/2023,SRA,09:42,09:43,09:43,09:44,
202301037046774,03/01/2023,LST,09:55,,09:51,,
202301037046776,03/01/2023,NRW,,09:00,,08:59,
202301037046776,03/01/2023,DIS,09:16,09:17,09:16,09:17,
202301037046776,03/01/2023,SMK,09:28,09:29,09:27,09:28,
202301037046776,03/01/2023,IPS,09:40,09:42,09:38,09:41,
202301037046776,03/01/2023,MNG,09:50,09:51,09:50,09:51,
202301037046776,03/01/2023,COL,10:00,10:01,09:58,10:00,
202301037046776,03/01/2023,CHM,10:23,10:24,10:19,10:23,
202301037046776,03/01/2023,SRA,10:55,10:55,10:49,10:55,
202301037046776,03/01/2023,LST,11:07,,11:02,,
202301037046778,03/01/2023,NRW,,10:00,,09:59,
202301037046778,03/01/2023,DIS,10:16,10:17,10:16,10:17,
202301037046778,03/01/2023,SMK,10:28,10:29,10:28,10:28,
202301037046778,03/01/2023,IPS,10:40,10:42,10:38,10:41,
202301037046778,03/01/2023,MNG,10:50,10:51,10:50,10:51,
202301037046778,03/01/2023,COL,11:00,11:01,10:58,11:00,
202301037046778,03/01/2023,CHM,11:18,11:20,11:19,11:20,
202301037046778,03/01/2023,SRA,11:45,11:46,11:44,11:45,
202301037046778,03/01/2023,LST,11:58,,11:52,,
202301037046780,03/01/2023,NRW,,11:10,,11:09,
202301037046780,03/01/2023,DIS,11:26,11:27,11:26,11:27,
202301037046780,03/01/2023,SMK,11:38,11:39,11:38,11:38,
202301037046780,03/01/2023,IPS,11:50,11:52,11:49,11:51,
202301037046780,03/01/2023,MNG,12:00,12:01,12:00,12:01,
202301037046780,03/01/2023,COL,12:11,12:13,12:09,12:12,
202301037046780,03/01/2023,CHM,12:30,12:31,12:29,12:30,
202301037046780,03/01/2023,SRA,12:55,12:55,12:53,12:55,
202301037046780,03/01/2023,LST,13:07,,13:01,,
202301037046782,03/01/2023,NRW,,12:00,,12:00,
202301037046782,03/01/2023,DIS,12:16,12:17,12:16,12:17,
202301037046782,03/01/2023,SMK,12:28,12:29,12:28,12:28,
202301037046782,03/01/2023,IPS,12:40,12:42,12:38,12:41,
202301037046782,03/01/2023,MNG,12:50,12:51,12:50,12:51,
202301037046782,03/01/2023,COL,13:00,13:01,12:59,13:00,
202301037046782,03/01/2023,CHM,13:18,13:20,13:16,13:19,
202301037046782,03/01/2023,SRA,13:46,13:47,13:48,13:49,
202301037046782,03/01/2023,LST,13:59,,13:55,,
202301037046784,03/01/2023,NRW,,13:00,,12:59,
202301037046784,03/01/2023,DIS,13:16,13:17,13:15,13:17,
202301037046784,03/01/2023,SMK,13:28,13:29,13:27,13:28,
202301037046784,03/01/2023,IPS,13:40,13:42,13:39,13:41,
202301037046784,03/01/2023,MNG,13:50,13:51,13:50,13:51,
202301037046784,03/01/2023,COL,14:00,14:01,13:58,14:00,
202301037046784,03/01/2023,CHM,14:18,14:20,14:16,14:19,
202301037046784,03/01/2023,SRA,14:43,14:44,14:43,14:46,
202301037046784,03/01/2023,LST,14:56,,14:53,,
202301037046786,03/01/2023,NRW,,14:00,,13:59,811
202301037046786,03/01/2023,DIS,14:16,14:17,14:15,14:17,811
202301037046786,03/01/2023,SMK,14:28,14:29,14:28,14:28,811
202301037046786,03/01/2023,IPS,14:40,14:42,14:38,14:41,811
202301037046786,03/01/2023,MNG,14:50,14:51,14:50,14:51,811
